name,price,core_count,core_clock,boost_clock,microarchitecture,tdp,graphics,link_image
Intel Core i9-13900KS,429.0,24,3.0,6.0,Raptor Lake,150,Intel UHD Graphics 770,https://m.media-amazon.com/images/I/61My4F2-XUL._AC_SX466_.jpg
Intel Core Ultra 7 265F,269.99,20,2.4,5.3,Arrow Lake,65,,https://m.media-amazon.com/images/I/51YCErsmDjL._AC_SX466_.jpg
Intel Core i3-8100,60.78,4,3.6,,Coffee Lake,65,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/818KAP71ZBL._AC_SX466_.jpg
Intel Core i7-4790,149.94,4,3.6,4.0,Haswell Refresh,84,Intel HD Graphics 4600,https://m.media-amazon.com/images/I/51k9DlVz1QL._AC_.jpg
Intel Xeon E5-2699 V4,332.72,22,2.2,3.6,Broadwell,145,,https://m.media-amazon.com/images/I/710qNjG55FL._AC_SX466_.jpg
Intel Core i5-4690K,54.0,4,3.5,3.9,Haswell Refresh,88,Intel HD Graphics 4600,https://m.media-amazon.com/images/I/81scYFwjo1L._AC_SX466_.jpg
Intel Xeon E5-2680 V4,1975.0,14,2.4,3.3,Broadwell,120,,https://m.media-amazon.com/images/I/81jC3EvIU6L._AC_SX466_.jpg
Intel Core i9-12900KS,379.99,16,3.4,5.5,Alder Lake,150,Intel UHD Graphics 770,https://m.media-amazon.com/images/I/51klBAsxGHL._AC_SX466_.jpg
AMD Ryzen 7 1700,165.0,8,3.0,3.7,Zen,65,,https://m.media-amazon.com/images/I/51mYUHhRQdL._AC_SX466_.jpg
Intel Core i5-8600K,327.23,6,3.6,4.3,Coffee Lake,95,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/71GBCpzPaAL._AC_SX466_.jpg
Intel Core i3-10100,99.99,4,3.6,4.3,Comet Lake,65,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/61m1lZf82OL._AC_SX466_.jpg
Intel Pentium G640,19.0,2,2.8,,Sandy Bridge,65,Intel HD Graphics,https://m.media-amazon.com/images/I/51xjoQXAB4L._AC_SX466_.jpg
Intel Core i9-9900KF,329.0,8,3.6,5.0,Coffee Lake Refresh,95,,https://m.media-amazon.com/images/I/81eoV5SY8RL._AC_SX466_.jpg
Intel Core i7-9700F,259.0,8,3.0,4.7,Coffee Lake Refresh,65,,https://m.media-amazon.com/images/I/71i+vedHxIL._AC_SX466_.jpg
AMD EPYC 4564P,699.99,16,4.5,5.7,Zen 4,170,Radeon,https://m.media-amazon.com/images/I/61TN6xIVd2L._AC_SX466_.jpg
